,product_name_list,price_lst
329,البقرة الضاحكة جبنة شيدر شرائح 200 جرام,7.95
330,كارفور بسكويت بودوار 400 جرام,11.95
331,غندور كنوز حلوى فواكه استوائية 27 جرام 2...,12.5
332,لورينز رقائق البطاطا بابريكا 100 جم,6.5
333,العلالي خليط كيك شوكولاته 524 جرام,10.0
334,بريتانيا بسكويت ماري 75 جرام,1.25
335,الرفاعي بذور مصرية 180 جرام,13.5
336,مونتانا خضار مشكلة مجمدة 400 جرام,5.0
337,جرينز جيلاتين كرز80 جم,1.95
338,كي دي دي نكتار مانجو 1 لتر × 4,23.5
339,السعودية معجون طماطم 135 جرام × 48,64.95
340,برايد موزاريلا مبشورة 200 جرام,11.95
341,المواسم لانشون دجاج 320 جرام,6.95
342,لواكر ويفر بالشوكولاتة كيس 250 جرام,17.5
343,تويكس شوكلاته حبة صغيرة 150 جرام,11.25
344,سفن اب مشروب غازي علبه زجاجيه 250  مل,2.5
345,ياطب سميد ناعم 500 جرام,4.25
346,كادبوري فليكس شوكولاتة 32 جرام,2.95
347,نستله رقائق الحبوب المتعددة 375 جرام,20.95
348,لانجنيز عسل اكاسيا 125 جم,22.0
349,نادك قشطة طازجة 100 جرام,3.0
350,العلالي خليط كريمة الخفق 168جرام,12.5
351,العلالي كوكتيل فواكه وسط 420 جرام,7.75
352,جرينز خليط مهلبية 85 جم,2.75
353,اولكر اعواد كراكر مالح 30 جرام,0.75
354,الرفاعي بذور اليقطين 140 جرام,10.0
355,هيرشيز شوكولاتة بالحليب للخبز 275 جم,18.75
356,جالكسي جواهر شوكولاتة مشكلة 200 جرام,22.95
357,ناتشر فالي ألواح شوفان و عسل - 6 حبة,12.75
358,ليندت ليندور شوكولاتة بالحليب 200 جرام,29.95
359,باونتي شوكولاته 285 جرام,14.5
360,سفن اب مشروب غازي 2.25 لتر,7.95
361,فرشلي طماطم كاتشب 397 جرام,6.95
362,كوبوليفا زيتون اسود 350 جرام,5.0
363,امريكانا برجر دجاج 12 قطع 672 جرام,19.25
364,العلالي معكرونة حبيبات صغيرة 450 جرام,3.95
365,امريكانا نجتس الدجاج حار 270 جرام,10.0
366,"كوكا كولا مشروب غازي 2,25 لتر",8.0
367,نستله مياه 1.5 لتر,1.75
368,سن كولا شراب علب صغيرة 125 مل,0.5
369,ريو ماري سلاتونا خلطة الذرة 160 جرام حبت...,26.75
370,ماكين قولدن لونغز بطاطس طويلة ورفيعة 750...,12.5
371,هنتز كاكاو بودره وسط 227 جم,31.95
372,ماركال دخن مقشر 500 جرام,18.5
373,السعودية معجون طماطم 135 جرام - 8 حبة,9.5
374,نسكافيه قولد قهوة ساده 50 جرام,13.5
375,دوريتوس حار وحلو 23 جرام,1.0
376,قودي معكرونة فيتوتشيني 500 جم,8.95
377,العلالي مكرونة إيطالية 450 جرام,3.95
378,سنبلة سبرينق رول 160 جرام,3.95
379,كابريس اصابع ويفر محشو بكريمة البندق 115...,10.95
380,كارفور خضار مشكلة مقلية 1 كيلو جرام,14.95
381,نادك زبادي قليل الدسم 2 كيلو,13.0
382,جرينز جيلي ليمون 80 جم,1.95
383,ساديا بطاطس مقلية 2.5 كيلو جرام,20.95
384,ميراندا حمضيات عبلة 355 مل - 24 حبة,57.95
385,ماركال عدس ذهبي 500 جرام,34.95
386,قودي تونا تندرينا 185 جرام,8.25
387,شمس زيت دوار الشمس 1.8 لتر,16.95
388,هنتز كاكاو بودرة 100 جم,12.95
389,كارفور شرائح جبنة ميموليت 200 جرام,17.5
390,ام اند امز بالشوكولاتة 45 جرام,3.5
391,سنيورة مرتديلا حبش مدخن (للكيلو),69.95
392,الوطنية قوانص دجاج 450 جرام,5.75
393,ليندت شوكولاتة ليندور داكنة 200 جرام,29.95
394,حلواني مربى كرز 800 جم,15.95
395,نوفا مياه 5 لتر,4.0
396,هولستن بيرة توت بري 330 مل × 6,31.0
397,العيسى ملح القصب 3 كيلو,4.0
398,إن ون عدس أحمر حب 1 كجم,9.95
399,كوبوليفا زيتون اسود بدون عجو 75 جرام,4.25
400,ماكفيتيز دايجستف بسكويت شوكولاتة بالحليب...,12.5
401,هرفي خبز التوست بالحليب 700 جرام,5.0
402,هرفي تندرز الدجاج 270 جرام,13.4
403,نسكافيه قولد قهوة ساده 100 جرام,22.5
404,الربيع عصير فواكه مشكلة 300 مل,2.0
405,جالكسي كيك الشوكولاته - 5 حبة,11.95
406,بايارا زبيب ذهبي جامبو 400 جرام,18.95
407,فريشلي بلسميك خل العنب 500 مل,20.95
408,ليبيز كوكتيل فواكه 420 جم,8.5
409,المراعي حليب قليل الدسم 500 مل,3.0
410,لو ساريتا كيك ماربل 230 جرام,11.95
411,حلواني اخوان سكر فاكهة 250 جرام,8.95
412,إنتاج سيقان دجاج طازج 500 جرام,9.4
413,ياطب فاصوليا بيضاء 1  كيلوجرام,17.95
414,موسي شراب شعير توت 330 مل - 6 حبة,28.95
415,الصافي حليب كامل الدسم 200 مل,1.05
416,يمامه كيك شوكولاته 21 جرام,6.5
417,حلواني حلوى طحينية سادة 1 كجم,31.25
418,نعناع عضوي - صحن 100 جرام,4.95
419,فرشلي صلصة ايطالية للسلطة 237 مل,7.95
420,امريكانا بازيلا خضراء 450 جرام,7.95
421,ديمه بسكويت جلوكوز 40 جرام 12 حبة,6.95
422,الوطنية دجاج مجمد 1.1 كيلو 10 حبات,126.95
423,نجار كلاسيك قهوة برازيلية مطحونة مع هيل ...,15.95
424,كارفور زبدة خفيفة 25% دهون 250 جرام,16.5
425,ياطب حمص مجروش 1  كيلوجرام,10.0
426,اس تي دالفور مربى البرتقال 284 جرام,19.5
427,ستورك توفيفي شوكولاته 400 جرام,39.5
428,فرسانا جبنة شيدر مبشورة 200 جرام,9.75
429,قودي شرائح اناناس 567 جم,6.25
430,كابري سن شراب مانجو 200 مل - 10 حبة,8.95
431,امريكانا سجق لحم 450 جرام,15.95
432,الربيع عصير أناناس 1 لتر,6.95
433,الكبير قطع الدجاج 270 جرام,9.75
434,أبو بنت أرز انتاج الولايات المتحدة 2 كيل...,13.95
435,امريكانا ذرة حلوة 450 جرام,8.95
436,تويننغز شاي أخضر بالليمون 2غ × 25,19.5
437,لورينز رقائق البطاطا المملح 100 جم,6.5
438,مولر زبادي بالفنيليا والشوكلاتة 175 جرام,6.95
439,الكرامة معمول الحجاز 320 جرام,9.25
440,ساديا دجاج مجمد 1.1 كج,13.75
441,اسناد بهارات البرياني 200 جرام,15.95
442,الكبير فراولة مجمده  900 جرام,19.75
443,فرشلي تتبيلة سلطة رانش 237 مل,7.95
444,الوزير زيت زيتون بكر 500 مل,18.45
445,بوك كريمة مخفوقة جاهزة 200 مل,7.0
446,"شمس زيت دوار الشمس 1,8 لتر قطعتين",31.5
447,اولكر بسكويت شاي 160 جرام 12 حبة,23.95
448,أليسا شرائح زيتون أحضر 120 جرام,5.95
449,موز (للكيلو),3.9
450,كارفور جبنة طرية خالية من الدهون 100 جرا...,22.5
451,نادك جبنة كريمة قابلة للدهن 500 جرام,14.95
452,قودي تونا تندرينا 80 جرام,4.65
453,إن ون لوز أنصاف 500 جرام,38.5
454,كيلوجز سماكس رقائق الفطور بنكهة العسل 37...,19.95
455,قودي جيلي برتقال 85 جم,2.0
456,البقرات الثلاث جبنة كريمة بيضاء 200 جرام,6.5
457,راني عصير مانجو 1.5 لتر,4.1
458,غندور مستكة 100 جرام,10.0
459,هارفيست شرائح اناناس 567 جرام,6.95
460,المراعي عصير فواكه مشكلة 200 مل,1.05
461,نستله كريمة مبيضه للقهوة 170 جرام,8.0
462,وليمة فاصوليا خضراء مقطع 400 جرام,3.75
463,السنبلة برجر غنم 24 قطع 1.34 كيلو,30.75
464,المراعي عصير توت مشكل 200 مل,1.05
465,الكبير دجاج تكة مخاني مع الرز المطبوخ 45...,14.95
466,العلالي مربى فراولة طبيعيه 800 جرام,14.95
467,سفن اب مشروب غازي 330 مل 24 حبة,57.95
468,ناتشر فالي ألواح الجرانولا شوفان وتفاح 4...,12.75
469,عصير برتقال طازج 1 لتر,12.95
470,فريشلي فلفل هالابينو شرائح 453 جرام,11.5
471,كرافت جبنة شيدر للدهن الاصلية 500 جرام,16.2
472,نستله قشطه سادة 170 جرام,4.25
473,راني عصير خوخ بالحبيبات 240 مل,1.75
474,إيل أند فير كريمة الفانيلا 125 جرام,3.5
475,فرشلي خل تفاح طبيعي 453 جرام,3.95
476,ماركل أرز بني بسمتي معطر 500 جرام,24.95
477,الواحة عصير جوافة 250 مل × 27,13.75
478,قودي شرائح اناناس  227 جم,3.75
479,ديمه توفي بالحليب 250 جرام,5.95
480,سنكيوك عصير ليمون 840 مل,15.5
481,الكرامه عجينه سمبوسه 500 جرام,8.95
482,تايم ويفر بالبندق 400 جرام,20.95
483,فيريرو رافايلو شوكولاتة 10 جرام,2.95
484,دافيدوف قهوة 57 اسبريسو 100 جرام,28.95
